Riik;Laulja;Laulunimetus;Heliloojad;Sõnade autorid;Riigi värv 1;Riigi värv 2;Riigi värv 3
ALBAANIA;Arilena Ara;Fall From The Sky;Darko Dimitrov, Lazar Cvetkoski;Michael Blue, Robert Stevenson, Sam Schummer;c14544;130100;c14544
UKRAINA;Go_A;Solovey;Taras Shevchenko, Kateryna Pavlenko;Kateryna Pavlenko;efd756;245689;efd756
VALGEVENE;VAL;Da Vidna;Vladislav Pashkevich, Valeria Gribusova;Mikita Naidzenau;ca423f;7bb463;eaeaea
ARMEENIA;Athena Manoukian;Chains On You;Athena Manoukian, DJ Paco;Athena Manoukian;d9222a;005093;eb8b2d
AUSTRAALIA;Montaigne;Don't Break Me;Montaigne, Anthony Egizii, David Musumeci;Montaigne, Anthony Egizii, David Musumeci;002776;fefefe;df093b
AUSTRIA;Vincent Bueno;Alive;Vincent Bueno, David "Davey" Yang, Felix van Göns, Artur Aigner;Vincent Bueno;da2f2d;fefefe;da2f2d
ASERBAIDŽAAN;Efendi;Cleopatra;Luuk van Beers, Alan Roy Scott, Sarah Lake;Luuk van Beers, Alan Roy Scott, Sarah Lake;1a8fc3;de4a37;039e60
BELGIA;Hooverphonic;Release Me;Alex Callier, Luca Chiaravalli;Alex Callier, Luca Chiaravalli;000105;f3ea46;dd443f
BULGAARIA;VICTORIA;Tears Getting Sober;Victoria Georgieva, Borislav Milanov, Lukas Oskar Janisch, Cornelia Wiebols;Victoria Georgieva, Borislav Milanov, Lukas Oscar Janisch;fefefe;009949;d9222a
HORVAATIA;Damir Kedžo;Divlji Vjetre;Ante Pecotić;Ante Pecotić;dc3d33;fefefe;195092
KÜPROS;Sandro;Running;Alfie Arcuri, Sebastian Rickards, Octavian Rasinariu, Sandro, Teo DK;Alfie Arcuri, Sebastian Rickards, Octavian Rasinariu, Sandro;fefefe;e98a31;116551
TŠEHHI;Benny Cristo;Kemama;Osama Hussain, Rudy Ray, Filip Zangi;Ben Cristovao, Charles Sarpong;fefefe;124680;d8131a
TAANI;Ben & Tan;YES;Emil Adler Lei, Jimmy Jansson, Linnea Deb;Emil Adler Lei, Jimmy Jansson, Linnea Deb;de482d;fefefe;de482d
EESTI;Uku Suviste;What Love Is;Uku Suviste;Sharon Vaughn;2074ae;000105;fefefe
SOOME;Aksel;Looking Back;Joonas Angeria, Whitney Phillips, Connor McDonough, Riley McDonough, Toby McDonough;Joonas Angeria, Whitney Phillips, Connor McDonough, Riley McDonough, Toby McDonough;fefefe;1b498d;fefefe
PRANTSUSMAA;Tom Leeb;Mon Alliée (The Best In Me);Peter Boström, Thomas G:son, John Lundvik;Peter Boström, Thomas G:son, John Lundvik, Tom Leeb, Amir Haddad, Lea Ivanne;174c78;fefefe;d74047
GRUUSIA;Tornike Kipiani;Take Me As I Am;Tornike Kipiani;Tornike Kipiani;fefefe;d7283c;fefefe
SAKSAMAA;Ben Dolic;Violent Thing;Borislav Milanov, Peter St. James, Dag Lundberg, Jimmy Thorén, Connor Martin;Borislav Milanov, Peter St. James, Dag Lundberg;151516;de4540;fad860
KREEKA;Stefania;SUPERG!RL;Dimίtris Kontόpoulos, Arcade;Dimίtris Kontόpoulos, Arcade, Sharon Vaughn;1a5f9b;fefefe;1a5f9b
ISLAND;Daði og Gagnamagnið;Think About Things;Daði Freyr;Daði Freyr;1d66a3;fefefe;de4540
